57;93;204;1702352078441;world
64;93;204;1702352076521;world
57;93;211;1702352080390;world
57;89;204;1702351999003;world
57;91;204;1702352002746;world
64;92;211;1702351991095;world
80;85;92;1737996587765;world
57;90;211;1702351975262;world
64;90;204;1702351995501;world
167;98;312;1702664735110;world
164;97;344;1703045968977;world
64;90;211;1702351990197;world
57;92;211;1702351976396;world
64;92;204;1702351996200;world
57;90;204;1702352002240;world
57;92;204;1702352004141;world
64;91;211;1702351990602;world
64;93;211;1702352073592;world
57;89;211;1702351974799;world
64;89;204;1702351995346;world
168;100;336;1702362649967;world
57;91;211;1702351975897;world
64;91;204;1702351995703;world
164;98;345;1703045970227;world
164;98;344;1703045969789;world
64;89;211;1702351989714;world
